mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_test_log_loss,mean_train_log_loss
0.6769535064697265,0.13852279748854113,0.004825305938720703,0.0010900961477226182,relu,0.010269253396058912,"(64, 32)",0.0003891616443088811,"{'mlp__activation': 'relu', 'mlp__alpha': np.float64(0.010269253396058912), 'mlp__hidden_layer_sizes': (64, 32), 'mlp__learning_rate_init': np.float64(0.0003891616443088811)}",-0.5874839986932133,-0.6058490145125739,-0.6396783850703487,-0.6107040478420082,-0.5251766944304344,-0.5937784281097157,0.038170143866381664,1,-0.3524337804834539,-0.48257647387512476,-0.5766046654607133,-0.47639490022144626,-0.41825114142993813,-0.4612521922941353,0.0744053180604553,0.5937784281097157,0.4612521922941353
0.3087615013122559,0.06413995013089194,0.004098939895629883,0.00029063130520174063,tanh,0.00012635112484606792,"(32,)",0.0010664503199167656,"{'mlp__activation': 'tanh', 'mlp__alpha': np.float64(0.00012635112484606792), 'mlp__hidden_layer_sizes': (32,), 'mlp__learning_rate_init': np.float64(0.0010664503199167656)}",-0.6172318158670271,-0.5851286648714573,-0.6311050234499228,-0.650825179042119,-0.5614230427718279,-0.6091427452004708,0.032059463735517525,2,-0.5389919765042469,-0.48655445529307445,-0.5881316474180132,-0.5604631786665849,-0.528405802711543,-0.5405094121186925,0.03384070753376999,0.6091427452004708,0.5405094121186925
0.28586320877075194,0.04893028364590384,0.00431671142578125,0.0007887462960462761,tanh,0.004867465725015644,"(32,)",0.007025557696562625,"{'mlp__activation': 'tanh', 'mlp__alpha': np.float64(0.004867465725015644), 'mlp__hidden_layer_sizes': (32,), 'mlp__learning_rate_init': np.float64(0.007025557696562625)}",-0.6507057616290173,-0.5939112524940109,-0.6576511932567548,-0.6243651253654302,-0.5660044384732408,-0.6185275542436908,0.03453929182489525,3,-0.6086533350856164,-0.5320749758132922,-0.3173708401926827,-0.44999445167643015,-0.4802946345859947,-0.4776776474708032,0.09652479524726154,0.6185275542436908,0.4776776474708032
0.2514023303985596,0.028128505423539053,0.004250621795654297,0.0005237655099055613,tanh,0.03437804601177133,"(32,)",0.008543113865105792,"{'mlp__activation': 'tanh', 'mlp__alpha': np.float64(0.03437804601177133), 'mlp__hidden_layer_sizes': (32,), 'mlp__learning_rate_init': np.float64(0.008543113865105792)}",-0.6497768249285916,-0.582693203952962,-0.689094738111812,-0.6176680506474708,-0.5634128831977625,-0.6205291401677198,0.045296090334708855,4,-0.6068026535525932,-0.45078166218159943,-0.41662457505442296,-0.43993930355250394,-0.5111540341637989,-0.48506044570098367,0.06840535270131451,0.6205291401677198,0.48506044570098367
0.4262240886688232,0.21767525865593737,0.004153633117675781,0.00044660616603208494,tanh,0.0001210878847356865,"(64,)",0.0016441786344824293,"{'mlp__activation': 'tanh', 'mlp__alpha': np.float64(0.0001210878847356865), 'mlp__hidden_layer_sizes': (64,), 'mlp__learning_rate_init': np.float64(0.0016441786344824293)}",-0.5690762465807917,-0.6095815415473379,-0.6401285636017254,-0.6678261013628547,-0.6241965068356344,-0.6221617919856689,0.03282837775383959,5,-0.32713712603129924,-0.5512983339092133,-0.24882068008872263,-0.5835253312220833,-0.6053954708351931,-0.4632353884173024,0.146239971221188,0.6221617919856689,0.4632353884173024
1.2138020515441894,0.13789709425913882,0.003784942626953125,0.000353079946061985,relu,0.024566830497909815,"(32, 16)",0.00020165735299062214,"{'mlp__activation': 'relu', 'mlp__alpha': np.float64(0.024566830497909815), 'mlp__hidden_layer_sizes': (32, 16), 'mlp__learning_rate_init': np.float64(0.00020165735299062214)}",-0.6295264722167055,-0.6140201657430908,-0.6599686070565418,-0.6535516911804662,-0.5555763619404854,-0.622528659627458,0.03733135991364643,6,-0.4945080605082627,-0.42562944367304956,-0.5082163276579438,-0.4386868928342983,-0.4522098925346268,-0.46385012344163623,0.032055491554127666,0.622528659627458,0.46385012344163623
0.8738085269927979,0.20001639761566442,0.004344272613525391,0.0014622171874018408,relu,0.00023685642414651614,"(32, 16)",0.0004310653762480432,"{'mlp__activation': 'relu', 'mlp__alpha': np.float64(0.00023685642414651614), 'mlp__hidden_layer_sizes': (32, 16), 'mlp__learning_rate_init': np.float64(0.0004310653762480432)}",-0.6315448829219291,-0.6456488080239926,-0.6449414443897742,-0.6630085757909906,-0.5517159911747908,-0.6273719404602954,0.039125278900068707,7,-0.4924418088010548,-0.36186787343597115,-0.460695792184024,-0.4230741889629887,-0.44494090441073914,-0.43660411355895556,0.04367224225505818,0.6273719404602954,0.43660411355895556
0.2457054615020752,0.06511025328172347,0.004677438735961914,0.0006821076063661701,tanh,0.016344093112778586,"(16,)",0.006192683433518144,"{'mlp__activation': 'tanh', 'mlp__alpha': np.float64(0.016344093112778586), 'mlp__hidden_layer_sizes': (16,), 'mlp__learning_rate_init': np.float64(0.006192683433518144)}",-0.6266981481525404,-0.6281039898958433,-0.6794009405224118,-0.6486786341117373,-0.5935864868703513,-0.6352936399105767,0.028247733352060315,8,-0.5210450154783411,-0.526276859844042,-0.6238679126942799,-0.4691203678542641,-0.31497701030885317,-0.4910574332359561,0.10125594968103757,0.6352936399105767,0.4910574332359561
0.5309201717376709,0.12973205021597398,0.004218530654907226,0.000517917253944111,tanh,0.0002882422661022525,"(64,)",0.000169025879135843,"{'mlp__activation': 'tanh', 'mlp__alpha': np.float64(0.0002882422661022525), 'mlp__hidden_layer_sizes': (64,), 'mlp__learning_rate_init': np.float64(0.000169025879135843)}",-0.6391310949567771,-0.6110399770156741,-0.6221993916042257,-0.6886112516885577,-0.6237534293765009,-0.6369470289283471,0.027337524659037573,9,-0.596163832705034,-0.5578156552585026,-0.5890634480174883,-0.6528922843319951,-0.6041277866862629,-0.6000126013998566,0.030752153943612318,0.6369470289283471,0.6000126013998566
0.7300128936767578,0.345826849137202,0.004084730148315429,0.0004512981848321554,tanh,0.0012433740228735576,"(32, 16)",0.000510582644008687,"{'mlp__activation': 'tanh', 'mlp__alpha': np.float64(0.0012433740228735576), 'mlp__hidden_layer_sizes': (32, 16), 'mlp__learning_rate_init': np.float64(0.000510582644008687)}",-0.6483046161868494,-0.6104285447181144,-0.7386940414678018,-0.6293841398783908,-0.5724284186250851,-0.6398479521752483,0.055430047702795436,10,-0.541213736030734,-0.46654879466047827,-0.25428623585335464,-0.48961238781250693,-0.5118449460346122,-0.45270122007833724,0.10223027085019613,0.6398479521752483,0.45270122007833724
