model,accuracy,precision,recall,f1,log_loss,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
Majority baseline,0.7464788732394366,0.0,0.0,0.0,9.137827619776179,0.5,0.2535211267605634,318,0,108,0
Initial MLP,0.6948356807511737,0.37209302325581395,0.2962962962962963,0.32989690721649484,1.205213075856545,0.5990566037735849,0.3763818798364119,264,54,76,32
Optimized MLP,0.7253521126760564,0.4608695652173913,0.49074074074074076,0.47533632286995514,0.5619726377312279,0.6980840903796878,0.53197538663096,256,62,55,53
